generated_at_jst,rank,catalog_row_id,title,offer_type,price,amount_usd,sample_title,sample_fields,sample_deliverable,primary_url,ready_to_pay_url,order_board_url,payment_activation_url,proof_rule,money_confirmed_usd
2026-06-18 10:48:47 JST,19,central-automation-blueprint,Automation Blueprint,service,$100,100.0,Workflow map and tracker spec,"Trigger list, status fields, owner tasks, risk notes",Buyer receives a workflow blueprint or tracker outline ready for internal implementation.,https://jaxassistant55.github.io/jax-micro-offer-studio/automation-blueprint.html,https://github.com/jaxassistant55/automation-blueprint-starter/issues/new?template=ready-to-pay-automation-blueprint-starter.yml,https://github.com/jaxassistant55/automation-blueprint-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,20,standalone-automation-blueprint-starter,Automation Blueprint Starter,service,$100,100.0,Workflow map and tracker spec,"Trigger list, status fields, owner tasks, risk notes",Buyer receives a workflow blueprint or tracker outline ready for internal implementation.,https://jaxassistant55.github.io/automation-blueprint-starter/,https://github.com/jaxassistant55/automation-blueprint-starter/issues/new?template=ready-to-pay-automation-blueprint-starter.yml,https://github.com/jaxassistant55/automation-blueprint-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,21,central-content-repurposing-sprint,Content Repurposing Sprint,service,$100,100.0,Fixed-scope service sample,"Inputs, deliverable outline, QA notes, acceptance checklist",Buyer receives the scoped service deliverable after accepted terms and external payment proof.,https://jaxassistant55.github.io/jax-micro-offer-studio/content-repurposing-sprint.html,https://github.com/jaxassistant55/content-repurposing-sprint-starter/issues/new?template=ready-to-pay-content-repurposing-sprint-starter.yml,https://github.com/jaxassistant55/content-repurposing-sprint-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,22,standalone-content-repurposing-sprint-starter,Content Repurposing Sprint Starter,service,$100,100.0,Fixed-scope service sample,"Inputs, deliverable outline, QA notes, acceptance checklist",Buyer receives the scoped service deliverable after accepted terms and external payment proof.,https://jaxassistant55.github.io/content-repurposing-sprint-starter/,https://github.com/jaxassistant55/content-repurposing-sprint-starter/issues/new?template=ready-to-pay-content-repurposing-sprint-starter.yml,https://github.com/jaxassistant55/content-repurposing-sprint-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,23,standalone-resale-listing-research-starter,Resale Listing Research Starter,service,$100,100.0,Listing research packet,"Title options, comparable price band, photo checklist, risk notes",Buyer receives listing-ready copy and a pricing worksheet.,https://jaxassistant55.github.io/resale-listing-research-starter/,https://github.com/jaxassistant55/resale-listing-research-starter/issues/new?template=ready-to-pay-resale-listing-research-starter.yml,https://github.com/jaxassistant55/resale-listing-research-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,24,central-resale-listing-and-price-research-pack,Resale Listing and Price Research Pack,service,$100,100.0,Listing research packet,"Title options, comparable price band, photo checklist, risk notes",Buyer receives listing-ready copy and a pricing worksheet.,https://jaxassistant55.github.io/jax-micro-offer-studio/resale-listing-and-price-research-pack.html,https://github.com/jaxassistant55/resale-listing-research-starter/issues/new?template=ready-to-pay-resale-listing-research-starter.yml,https://github.com/jaxassistant55/resale-listing-research-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,25,standalone-subscription-audit-savings-starter,Subscription Audit Savings Starter,service,$100,100.0,Savings action log,"Plan, renewal date, downgrade/cancel path, proof fields",Buyer receives a savings checklist and proof log for owner-only account actions.,https://jaxassistant55.github.io/subscription-audit-savings-starter/,https://github.com/jaxassistant55/subscription-audit-savings-starter/issues/new?template=ready-to-pay-subscription-audit-savings-starter.yml,https://github.com/jaxassistant55/subscription-audit-savings-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,26,central-subscription-audit-and-savings-prep-pack,Subscription Audit and Savings Prep Pack,service,$100,100.0,Savings action log,"Plan, renewal date, downgrade/cancel path, proof fields",Buyer receives a savings checklist and proof log for owner-only account actions.,https://jaxassistant55.github.io/jax-micro-offer-studio/subscription-audit-and-savings-prep-pack.html,https://github.com/jaxassistant55/subscription-audit-savings-starter/issues/new?template=ready-to-pay-subscription-audit-savings-starter.yml,https://github.com/jaxassistant55/subscription-audit-savings-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,27,standalone-translation-localization-draft-starter,Translation Localization Draft Starter,service,$100,100.0,Localization draft pack,"Tone notes, glossary, translated sample, review checklist","Buyer receives a draft localization pack with review notes, not certified translation.",https://jaxassistant55.github.io/translation-localization-draft-starter/,https://github.com/jaxassistant55/translation-localization-draft-starter/issues/new?template=ready-to-pay-translation-localization-draft-starter.yml,https://github.com/jaxassistant55/translation-localization-draft-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,28,central-translation-and-localization-draft-pack,Translation and Localization Draft Pack,service,$100,100.0,Localization draft pack,"Tone notes, glossary, translated sample, review checklist","Buyer receives a draft localization pack with review notes, not certified translation.",https://jaxassistant55.github.io/jax-micro-offer-studio/translation-and-localization-draft-pack.html,https://github.com/jaxassistant55/translation-localization-draft-starter/issues/new?template=ready-to-pay-translation-localization-draft-starter.yml,https://github.com/jaxassistant55/translation-localization-draft-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,29,standalone-local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,service,$175,175.0,Public local audit snapshot,"Service area, category fit, citation consistency, review path",Buyer receives ranked public findings and owner-only action steps without account login.,https://jaxassistant55.github.io/local-seo-gbp-audit-starter/,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,30,hot-download-local-seo-gbp-audit-starter,Local SEO GBP Audit Starter,service,$175,175.0,Public local audit snapshot,"Service area, category fit, citation consistency, review path",Buyer receives ranked public findings and owner-only action steps without account login.,https://jaxassistant55.github.io/jax-micro-offer-studio/hot-download-close-local-seo-gbp-audit-starter.html,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/new?template=ready-to-pay-local-seo-gbp-audit.yml,https://github.com/jaxassistant55/local-seo-gbp-audit-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,31,standalone-pdf-table-extraction-starter,PDF Table Extraction Starter,service,$125,125.0,Extracted table preview,"Source page, row labels, normalized CSV, ambiguity notes",Buyer receives CSV/XLSX output for accepted files plus extraction notes.,https://jaxassistant55.github.io/pdf-table-extraction-starter/,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,32,hot-download-pdf-table-extraction-starter,PDF Table Extraction Starter,service,$125,125.0,Extracted table preview,"Source page, row labels, normalized CSV, ambiguity notes",Buyer receives CSV/XLSX output for accepted files plus extraction notes.,https://jaxassistant55.github.io/jax-micro-offer-studio/hot-download-close-pdf-table-extraction-starter.html,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/new?template=ready-to-pay-pdf-table-extraction.yml,https://github.com/jaxassistant55/pdf-table-extraction-starter/issues/1,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,33,central-first-100-fast-start,First $100 Fast Start,service,$100,100.0,Fixed-scope service sample,"Inputs, deliverable outline, QA notes, acceptance checklist",Buyer receives the scoped service deliverable after accepted terms and external payment proof.,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-fast-start.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-fast-start.yml,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/24,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
2026-06-18 10:48:47 JST,34,central-first-100-product-bundle,First $100 Product Bundle,product,$100,100.0,Product transfer preview,"Files, README, license note, handoff checklist",Buyer receives the prepared product packet after accepted terms and external payment proof.,https://jaxassistant55.github.io/jax-micro-offer-studio/first-100-product-bundle.html,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/new?template=first-100-product-bundle.yml,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/25,https://jaxassistant55.github.io/jax-micro-offer-studio/payment-activation,"Synthetic sample only. Count money only after real buyer acceptance, seller-controlled external payment proof, delivery proof, and posted/released/payable/cleared funds.",0
