generated_at_jst,type,title,price,first_100_path,detail_url,issue_number,issue_url,state,comments,money_confirmed_usd
2026-06-11 01:37:41 JST,product,Browser Extension Template,$29,Four paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/browser-extension-template.html,8,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/8,open,0,0
2026-06-11 01:37:41 JST,product,Mini Course Workbook,$29,Four paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/mini-course-workbook.html,9,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/9,open,0,0
2026-06-11 01:37:41 JST,product,Synthetic Mock Dataset Pack,$19,Six paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/synthetic-mock-dataset-pack.html,10,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/10,open,0,0
2026-06-11 01:37:41 JST,product,CSV CLI Toolkit,$19,Six paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/csv-cli-toolkit.html,11,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/11,open,0,0
2026-06-11 02:36:42 JST,product,Invoice and Expense Tracker Template,$19,Six paid transfers clears $100 gross.,https://jaxassistant55.github.io/jax-micro-offer-studio/invoice-and-expense-tracker-template.html,12,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/12,open,0,0
2026-06-11 02:50:26 JST,product,Prompt Workflow Pack,$19 product / $100 setup,"Six paid product transfers clears $100 gross, or one paid custom setup reaches $100.",https://jaxassistant55.github.io/jax-micro-offer-studio/prompt-workflow-pack.html,13,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/13,open,0,0
2026-06-11 02:59:57 JST,service,Resale Listing and Price Research Pack,$100,One paid resale listing pack reaches $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/resale-listing-and-price-research-pack.html,14,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/14,open,0,0
2026-06-11 03:17:18 JST,product,Sales Enablement Kit,$29 product / $100 setup,"Four paid kit transfers clears $100 gross, or one paid custom setup reaches $100.",https://jaxassistant55.github.io/jax-micro-offer-studio/sales-enablement-kit.html,15,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/15,open,0,0
2026-06-11 03:26:18 JST,service,Translation and Localization Draft Pack,$100,One paid localization draft pack reaches $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/translation-and-localization-draft-pack.html,16,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/16,open,0,0
2026-06-11 03:33:56 JST,service,Subscription Audit and Savings Prep Pack,$100,One paid subscription-audit prep pack reaches $100; one verified $9/month downgrade can also prove $108/year in savings for the account owner.,https://jaxassistant55.github.io/jax-micro-offer-studio/subscription-audit-and-savings-prep-pack.html,17,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/17,open,0,0
2026-06-11 03:41:26 JST,service,Content Repurposing Sprint,$100,One paid content repurposing sprint reaches $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/content-repurposing-sprint.html,18,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/18,open,0,0
2026-06-11 03:49:01 JST,service,Technical Docs Cleanup,$150,One paid docs cleanup sprint clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/technical-docs-cleanup.html,19,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/19,open,0,0
2026-06-11 03:59:15 JST,service,PDF/Table Extraction,$125,One paid PDF/table extraction package clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/pdf-table-extraction.html,20,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/20,open,0,0
2026-06-11 04:09:03 JST,service,Local SEO / GBP Audit,$175,One paid local SEO / GBP audit clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/local-seo-gbp-audit.html,21,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/21,open,0,0
2026-06-11 04:17:50 JST,service,Client Intake and SOP Package,$125,One paid client intake/SOP package clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/client-intake-and-sop-package.html,22,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/22,open,0,0
2026-06-11 04:35:13 JST,service,Resume / LinkedIn / Interview Pack,$125,One paid career packet clears $100.,https://jaxassistant55.github.io/jax-micro-offer-studio/resume-linkedin-interview-pack.html,23,https://github.com/jaxassistant55/jax-micro-offer-studio/issues/23,open,0,0
